time,Num arrivals,Queue length,Available agents,num_completed,total_wait,abandon,is_cycle_start,cycle
0,1,0,59,1.0,0.0,0.0,False,0
1,1,0,58,1.0,0.0,0.0,False,0
2,0,0,58,0.0,0.0,0.0,False,0
3,0,0,58,0.0,0.0,0.0,False,0
4,0,0,58,0.0,0.0,0.0,False,0
5,1,0,57,1.0,0.0,0.0,False,0
6,2,0,55,2.0,0.0,0.0,False,0
7,0,0,55,0.0,0.0,0.0,False,0
8,0,0,55,0.0,0.0,0.0,False,0
9,0,0,55,0.0,0.0,0.0,False,0
10,0,0,55,0.0,0.0,0.0,False,0
11,0,0,55,0.0,0.0,0.0,False,0
12,2,0,53,2.0,0.0,0.0,False,0
13,0,0,53,0.0,0.0,0.0,False,0
14,0,0,53,0.0,0.0,0.0,False,0
15,0,0,53,0.0,0.0,0.0,False,0
16,0,0,53,0.0,0.0,0.0,False,0
17,0,0,53,0.0,0.0,0.0,False,0
18,0,0,53,0.0,0.0,0.0,False,0
19,0,0,53,0.0,0.0,0.0,False,0
20,0,0,53,0.0,0.0,0.0,False,0
21,0,0,53,0.0,0.0,0.0,False,0
22,0,0,53,0.0,0.0,0.0,False,0
23,1,0,52,1.0,0.0,0.0,False,0
24,1,0,51,1.0,0.0,0.0,False,0
25,1,0,50,1.0,0.0,0.0,False,0
26,0,0,50,0.0,0.0,0.0,False,0
27,1,0,49,1.0,0.0,0.0,False,0
28,0,0,49,0.0,0.0,0.0,False,0
29,0,0,49,0.0,0.0,0.0,False,0
30,1,0,48,1.0,0.0,0.0,False,0
31,1,0,47,1.0,0.0,0.0,False,0
32,0,0,47,0.0,0.0,0.0,False,0
33,1,0,46,1.0,0.0,0.0,False,0
34,1,0,45,1.0,0.0,0.0,False,0
35,0,0,45,0.0,0.0,0.0,False,0
36,0,0,46,0.0,0.0,0.0,False,0
37,1,0,45,1.0,0.0,0.0,False,0
38,0,0,45,0.0,0.0,0.0,False,0
39,0,0,45,0.0,0.0,0.0,False,0
40,2,0,43,2.0,0.0,0.0,False,0
41,0,0,43,0.0,0.0,0.0,False,0
42,0,0,43,0.0,0.0,0.0,False,0
43,0,0,44,0.0,0.0,0.0,False,0
44,0,0,44,0.0,0.0,0.0,False,0
45,0,0,44,0.0,0.0,0.0,False,0
46,0,0,44,0.0,0.0,0.0,False,0
47,0,0,44,0.0,0.0,0.0,False,0
48,0,0,44,0.0,0.0,0.0,False,0
49,1,0,43,1.0,0.0,0.0,False,0
50,1,0,42,1.0,0.0,0.0,False,0
51,0,0,42,0.0,0.0,0.0,False,0
52,0,0,42,0.0,0.0,0.0,False,0
53,2,0,40,2.0,0.0,0.0,False,0
54,0,0,41,0.0,0.0,0.0,False,0
55,1,0,41,1.0,0.0,0.0,False,0
56,1,0,40,1.0,0.0,0.0,False,0
57,1,0,39,1.0,0.0,0.0,False,0
58,0,0,39,0.0,0.0,0.0,False,0
59,1,0,40,1.0,0.0,0.0,False,0
60,0,0,40,0.0,0.0,0.0,False,0
61,0,0,40,0.0,0.0,0.0,False,0
62,0,0,40,0.0,0.0,0.0,False,0
63,0,0,40,0.0,0.0,0.0,False,0
64,0,0,40,0.0,0.0,0.0,False,0
65,0,0,40,0.0,0.0,0.0,False,0
66,0,0,40,0.0,0.0,0.0,False,0
67,0,0,41,0.0,0.0,0.0,False,0
68,0,0,41,0.0,0.0,0.0,False,0
69,1,0,40,1.0,0.0,0.0,False,0
70,0,0,40,0.0,0.0,0.0,False,0
71,0,0,41,0.0,0.0,0.0,False,0
72,0,0,41,0.0,0.0,0.0,False,0
73,0,0,41,0.0,0.0,0.0,False,0
74,0,0,41,0.0,0.0,0.0,False,0
75,0,0,41,0.0,0.0,0.0,False,0
76,0,0,41,0.0,0.0,0.0,False,0
77,1,0,40,1.0,0.0,0.0,False,0
78,0,0,40,0.0,0.0,0.0,False,0
79,0,0,40,0.0,0.0,0.0,False,0
80,2,0,38,2.0,0.0,0.0,False,0
81,1,0,37,1.0,0.0,0.0,False,0
