No. of agents,Prob abandon,Prob abandon CI,Avg wait,Avg wait CI,No. of cycles,Full sim prob abandon,Full sim avg abandon
60,0.046237754463975544,"(0.036544587250485046, 0.05593092167746604)",15.822101021329814,"(12.587399407146938, 19.05680263551269)",914,0.04594408008284432,15.72191922678633
61,0.036603170189099005,"(0.02882754033633578, 0.04437880004186223)",12.821398776418244,"(10.1552423449378, 15.487555207898687)",944,0.03627906976744186,12.707872523686477
62,0.04198592379433485,"(0.03409514186871772, 0.04987670571995198)",14.347779357209724,"(11.708342186785142, 16.987216527634306)",843,0.041764300482425916,14.274396967608546
63,0.025814318063055217,"(0.02037605833044597, 0.03125257779566446)",8.908970562619752,"(6.961028502795358, 10.856912622444145)",942,0.025626837281687704,8.84426768113436
64,0.021059639778540893,"(0.014389603049284222, 0.027729676507797563)",8.103335903006517,"(5.5891004686700505, 10.617571337342984)",755,0.021164021164021163,8.090295182400446
65,0.012716032035970212,"(0.00872296072252808, 0.016709103349412342)",4.613039201910918,"(3.2943430309341197, 5.931735372887716)",750,0.012554187619212762,4.554326339517947
66,0.012136597579635556,"(0.008129647779442271, 0.01614354737982884)",4.182118514396995,"(2.911783493946992, 5.452453534846999)",695,0.012046529287908598,4.151082116599358
67,0.011394522266360025,"(0.007257734978551714, 0.015531309554168336)",4.209004111784794,"(2.733851533648439, 5.684156689921149)",713,0.011267702698046242,4.162158436993901
68,0.007699194270367054,"(0.004809479863664346, 0.010588908677069762)",2.773249776186213,"(1.829830099031086, 3.71666945334134)",626,0.007473321978518545,2.6919600959365986
69,0.006890083330327189,"(0.004448808501794241, 0.009331358158860138)",2.3935283719923524,"(1.5166931294920984, 3.2703636144926063)",529,0.0069723879561537395,2.43211461079506
